delitopenal;comunidad;year;valor;variacioninteranual
    1. Homicidios dolosos y asesinatos consumados;COMUNITAT VALENCIANA;2019;40;14,29%
    1. Homicidios dolosos y asesinatos consumados;COMUNITAT VALENCIANA;2021;35;-7,89%
    1. Homicidios dolosos y asesinatos consumados;COMUNITAT VALENCIANA;2020;38;52,00%
    1. Homicidios dolosos y asesinatos consumados;COMUNITAT VALENCIANA;2018;25;-39,02%
    1. Homicidios dolosos y asesinatos consumados;COMUNITAT VALENCIANA;2017;41;sin datos
    1. Homicidios dolosos y asesinatos consumados;EN EL EXTRANJERO;2022;1;0,00%
    1. Homicidios dolosos y asesinatos consumados;EN EL EXTRANJERO;2019;1;100,00%
    1. Homicidios dolosos y asesinatos consumados;EN EL EXTRANJERO;2021;0;-100,00%
    1. Homicidios dolosos y asesinatos consumados;EN EL EXTRANJERO;2020;1;100,00%
    1. Homicidios dolosos y asesinatos consumados;EN EL EXTRANJERO;2018;0;0,00%
    1. Homicidios dolosos y asesinatos consumados;EN EL EXTRANJERO;2017;0;sin datos
    1. Homicidios dolosos y asesinatos consumados;EXTREMADURA;2022;3;-40,00%
    1. Homicidios dolosos y asesinatos consumados;EXTREMADURA;2019;5;25,00%
    1. Homicidios dolosos y asesinatos consumados;EXTREMADURA;2021;4;-55,56%
    1. Homicidios dolosos y asesinatos consumados;EXTREMADURA;2020;9;125,00%
    1. Homicidios dolosos y asesinatos consumados;EXTREMADURA;2018;4;-50,00%
    1. Homicidios dolosos y asesinatos consumados;EXTREMADURA;2017;8;sin datos
    1. Homicidios dolosos y asesinatos consumados;GALICIA;2022;7;-56,25%
    1. Homicidios dolosos y asesinatos consumados;GALICIA;2019;16;-11,11%
    1. Homicidios dolosos y asesinatos consumados;GALICIA;2021;18;63,64%
    1. Homicidios dolosos y asesinatos consumados;GALICIA;2020;11;37,50%
    1. Homicidios dolosos y asesinatos consumados;GALICIA;2018;8;-38,46%
    1. Homicidios dolosos y asesinatos consumados;GALICIA;2017;13;sin datos
    1. Homicidios dolosos y asesinatos consumados;MADRID (COMUNIDAD DE);2022;47;46,88%
    1. Homicidios dolosos y asesinatos consumados;MADRID (COMUNIDAD DE);2019;32;-13,51%
    1. Homicidios dolosos y asesinatos consumados;MADRID (COMUNIDAD DE);2021;37;0,00%
    1. Homicidios dolosos y asesinatos consumados;MADRID (COMUNIDAD DE);2020;37;2,78%
    1. Homicidios dolosos y asesinatos consumados;MADRID (COMUNIDAD DE);2018;36;-7,69%
    1. Homicidios dolosos y asesinatos consumados;MADRID (COMUNIDAD DE);2017;39;sin datos
    1. Homicidios dolosos y asesinatos consumados;MURCIA (REGIÓN DE);2022;8;-38,46%
    1. Homicidios dolosos y asesinatos consumados;MURCIA (REGIÓN DE);2019;13;-7,14%
    1. Homicidios dolosos y asesinatos consumados;MURCIA (REGIÓN DE);2021;14;16,67%
    1. Homicidios dolosos y asesinatos consumados;MURCIA (REGIÓN DE);2020;12;9,09%
    1. Homicidios dolosos y asesinatos consumados;MURCIA (REGIÓN DE);2018;11;-21,43%
    1. Homicidios dolosos y asesinatos consumados;MURCIA (REGIÓN DE);2017;14;sin datos
    1. Homicidios dolosos y asesinatos consumados;NAVARRA (COMUNIDAD FORAL DE);2022;3;-40,00%
    1. Homicidios dolosos y asesinatos consumados;NAVARRA (COMUNIDAD FORAL DE);2019;5;150,00%
    1. Homicidios dolosos y asesinatos consumados;NAVARRA (COMUNIDAD FORAL DE);2021;2;100,00%
    1. Homicidios dolosos y asesinatos consumados;NAVARRA (COMUNIDAD FORAL DE);2020;1;-90,91%
    1. Homicidios dolosos y asesinatos consumados;NAVARRA (COMUNIDAD FORAL DE);2018;11;57,14%
    1. Homicidios dolosos y asesinatos consumados;NAVARRA (COMUNIDAD FORAL DE);2017;7;sin datos
    1. Homicidios dolosos y asesinatos consumados;PAÍS VASCO;2022;8;-20,00%
    1. Homicidios dolosos y asesinatos consumados;PAÍS VASCO;2019;10;-9,09%
    1. Homicidios dolosos y asesinatos consumados;PAÍS VASCO;2021;11;-15,38%
    1. Homicidios dolosos y asesinatos consumados;PAÍS VASCO;2020;13;116,67%
    1. Homicidios dolosos y asesinatos consumados;PAÍS VASCO;2018;6;20,00%
    1. Homicidios dolosos y asesinatos consumados;PAÍS VASCO;2017;5;sin datos
    1. Homicidios dolosos y asesinatos consumados;RIOJA (LA);2022;1;100,00%
    1. Homicidios dolosos y asesinatos consumados;RIOJA (LA);2019;0;-100,00%
    1. Homicidios dolosos y asesinatos consumados;RIOJA (LA);2021;3;-40,00%
    1. Homicidios dolosos y asesinatos consumados;RIOJA (LA);2020;5;400,00%
    1. Homicidios dolosos y asesinatos consumados;RIOJA (LA);2018;1;100,00%
    1. Homicidios dolosos y asesinatos consumados;RIOJA (LA);2017;0;sin datos
    1. Homicidios dolosos y asesinatos consumados;TOTAL NACIONAL;2022;325;-1,81%
    1. Homicidios dolosos y asesinatos consumados;TOTAL NACIONAL;2019;331;12,97%
    1. Homicidios dolosos y asesinatos consumados;TOTAL NACIONAL;2021;293;-2,01%
    1. Homicidios dolosos y asesinatos consumados;TOTAL NACIONAL;2020;299;3,46%
    1. Homicidios dolosos y asesinatos consumados;TOTAL NACIONAL;2018;289;-5,86%
    1. Homicidios dolosos y asesinatos consumados;TOTAL NACIONAL;2017;307;sin datos
    10. Tráfico de drogas;ANDALUCÍA;2022;4608;5,54%
    10. Tráfico de drogas;ANDALUCÍA;2019;4366;-9,34%
    10. Tráfico de drogas;ANDALUCÍA;2021;4816;2,84%
    10. Tráfico de drogas;ANDALUCÍA;2020;4683;28,09%
    10. Tráfico de drogas;ANDALUCÍA;2018;3656;5,30%
    10. Tráfico de drogas;ANDALUCÍA;2017;3472;sin datos
    10. Tráfico de drogas;ARAGÓN;2022;417;18,80%
    10. Tráfico de drogas;ARAGÓN;2019;351;-13,76%
    10. Tráfico de drogas;ARAGÓN;2021;407;25,62%
    10. Tráfico de drogas;ARAGÓN;2020;324;-3,57%
    10. Tráfico de drogas;ARAGÓN;2018;336;24,44%
    10. Tráfico de drogas;ARAGÓN;2017;270;sin datos
    10. Tráfico de drogas;ASTURIAS (PRINCIPADO DE);2022;172;-16,50%
    10. Tráfico de drogas;ASTURIAS (PRINCIPADO DE);2019;206;24,10%
    10. Tráfico de drogas;ASTURIAS (PRINCIPADO DE);2021;166;-6,21%
    10. Tráfico de drogas;ASTURIAS (PRINCIPADO DE);2020;177;26,43%
    10. Tráfico de drogas;ASTURIAS (PRINCIPADO DE);2018;140;7,69%
    10. Tráfico de drogas;ASTURIAS (PRINCIPADO DE);2017;130;sin datos
    10. Tráfico de drogas;BALEARS (ILLES);2022;626;-4,57%
    10. Tráfico de drogas;BALEARS (ILLES);2019;656;68,64%
    10. Tráfico de drogas;BALEARS (ILLES);2021;389;-8,69%
    10. Tráfico de drogas;BALEARS (ILLES);2020;426;-17,12%
    10. Tráfico de drogas;BALEARS (ILLES);2018;514;6,42%
    10. Tráfico de drogas;BALEARS (ILLES);2017;483;sin datos
    10. Tráfico de drogas;CANARIAS;2022;734;21,72%
    10. Tráfico de drogas;CANARIAS;2019;603;13,56%
    10. Tráfico de drogas;CANARIAS;2021;531;-8,76%
    10. Tráfico de drogas;CANARIAS;2020;582;-6,58%
    10. Tráfico de drogas;CANARIAS;2018;623;4,36%
    10. Tráfico de drogas;CANARIAS;2017;597;sin datos
    10. Tráfico de drogas;CANTABRIA;2022;82;-4,65%
    10. Tráfico de drogas;CANTABRIA;2019;86;-10,42%
    10. Tráfico de drogas;CANTABRIA;2021;96;0,00%
    10. Tráfico de drogas;CANTABRIA;2020;96;10,34%
    10. Tráfico de drogas;CANTABRIA;2018;87;38,10%
    10. Tráfico de drogas;CANTABRIA;2017;63;sin datos
    10. Tráfico de drogas;CASTILLA - LA MANCHA;2022;557;19,78%
    10. Tráfico de drogas;CASTILLA - LA MANCHA;2019;465;-18,42%
    10. Tráfico de drogas;CASTILLA - LA MANCHA;2021;570;4,20%
    10. Tráfico de drogas;CASTILLA - LA MANCHA;2020;547;24,60%
    10. Tráfico de drogas;CASTILLA - LA MANCHA;2018;439;3,05%
    10. Tráfico de drogas;CASTILLA - LA MANCHA;2017;426;sin datos
    10. Tráfico de drogas;CASTILLA Y LEÓN;2022;480;7,38%
    10. Tráfico de drogas;CASTILLA Y LEÓN;2019;447;-9,15%
    10. Tráfico de drogas;CASTILLA Y LEÓN;2021;492;-1,20%
    10. Tráfico de drogas;CASTILLA Y LEÓN;2020;498;22,06%
    10. Tráfico de drogas;CASTILLA Y LEÓN;2018;408;22,16%
    10. Tráfico de drogas;CASTILLA Y LEÓN;2017;334;sin datos
    10. Tráfico de drogas;CATALUÑA;2022;3969;51,78%
    10. Tráfico de drogas;CATALUÑA;2019;2615;-32,50%
    10. Tráfico de drogas;CATALUÑA;2021;3874;31,50%
    10. Tráfico de drogas;CATALUÑA;2020;2946;20,15%
    10. Tráfico de drogas;CATALUÑA;2018;2452;8,07%
    10. Tráfico de drogas;CATALUÑA;2017;2269;sin datos
    10. Tráfico de drogas;CIUDAD AUTÓNOMA DE CEUTA;2022;115;-61,28%
    10. Tráfico de drogas;CIUDAD AUTÓNOMA DE CEUTA;2019;297;44,88%
    10. Tráfico de drogas;CIUDAD AUTÓNOMA DE CEUTA;2021;205;-6,82%
    10. Tráfico de drogas;CIUDAD AUTÓNOMA DE CEUTA;2020;220;32,53%
    10. Tráfico de drogas;CIUDAD AUTÓNOMA DE CEUTA;2018;166;-26,87%
    10. Tráfico de drogas;CIUDAD AUTÓNOMA DE CEUTA;2017;227;sin datos
    10. Tráfico de drogas;CIUDAD AUTÓNOMA DE MELILLA;2022;67;-11,84%
    10. Tráfico de drogas;CIUDAD AUTÓNOMA DE MELILLA;2019;76;-66,96%
    10. Tráfico de drogas;CIUDAD AUTÓNOMA DE MELILLA;2021;230;-0,43%
    10. Tráfico de drogas;CIUDAD AUTÓNOMA DE MELILLA;2020;231;381,25%
    10. Tráfico de drogas;CIUDAD AUTÓNOMA DE MELILLA;2018;48;-25,00%
    10. Tráfico de drogas;CIUDAD AUTÓNOMA DE MELILLA;2017;64;sin datos
    10. Tráfico de drogas;COMUNITAT VALENCIANA;2022;2027;2,43%
    10. Tráfico de drogas;COMUNITAT VALENCIANA;2019;1979;-0,20%
    10. Tráfico de drogas;COMUNITAT VALENCIANA;2021;1983;7,02%
    10. Tráfico de drogas;COMUNITAT VALENCIANA;2020;1853;5,34%
    10. Tráfico de drogas;COMUNITAT VALENCIANA;2018;1759;10,49%
    10. Tráfico de drogas;COMUNITAT VALENCIANA;2017;1592;sin datos
    10. Tráfico de drogas;EN EL EXTRANJERO;2022;23;53,33%
    10. Tráfico de drogas;EN EL EXTRANJERO;2019;15;-11,76%
    10. Tráfico de drogas;EN EL EXTRANJERO;2021;17;-10,53%
    10. Tráfico de drogas;EN EL EXTRANJERO;2020;19;72,73%
    10. Tráfico de drogas;EN EL EXTRANJERO;2018;11;-8,33%
    10. Tráfico de drogas;EN EL EXTRANJERO;2017;12;sin datos
    10. Tráfico de drogas;EXTREMADURA;2022;264;-18,27%
    10. Tráfico de drogas;EXTREMADURA;2019;323;-0,31%
    10. Tráfico de drogas;EXTREMADURA;2021;324;10,96%
    10. Tráfico de drogas;EXTREMADURA;2020;292;25,32%
    10. Tráfico de drogas;EXTREMADURA;2018;233;15,92%
    10. Tráfico de drogas;EXTREMADURA;2017;201;sin datos
    10. Tráfico de drogas;GALICIA;2022;504;-2,51%
    10. Tráfico de drogas;GALICIA;2019;517;12,88%
    10. Tráfico de drogas;GALICIA;2021;458;-16,42%
    10. Tráfico de drogas;GALICIA;2020;548;26,85%
    10. Tráfico de drogas;GALICIA;2018;432;16,44%
    10. Tráfico de drogas;GALICIA;2017;371;sin datos
    10. Tráfico de drogas;MADRID (COMUNIDAD DE);2022;2978;15,56%
    10. Tráfico de drogas;MADRID (COMUNIDAD DE);2019;2577;3,00%
    10. Tráfico de drogas;MADRID (COMUNIDAD DE);2021;2502;4,95%
    10. Tráfico de drogas;MADRID (COMUNIDAD DE);2020;2384;22,01%
    10. Tráfico de drogas;MADRID (COMUNIDAD DE);2018;1954;21,52%
    10. Tráfico de drogas;MADRID (COMUNIDAD DE);2017;1608;sin datos
    10. Tráfico de drogas;MURCIA (REGIÓN DE);2022;524;45,56%
    10. Tráfico de drogas;MURCIA (REGIÓN DE);2019;360;-28,85%
    10. Tráfico de drogas;MURCIA (REGIÓN DE);2021;506;30,75%
    10. Tráfico de drogas;MURCIA (REGIÓN DE);2020;387;34,84%
    10. Tráfico de drogas;MURCIA (REGIÓN DE);2018;287;-2,05%
    10. Tráfico de drogas;MURCIA (REGIÓN DE);2017;293;sin datos
    10. Tráfico de drogas;NAVARRA (COMUNIDAD FORAL DE);2022;147;-7,55%
    10. Tráfico de drogas;NAVARRA (COMUNIDAD FORAL DE);2019;159;8,16%
    10. Tráfico de drogas;NAVARRA (COMUNIDAD FORAL DE);2021;147;0,68%
    10. Tráfico de drogas;NAVARRA (COMUNIDAD FORAL DE);2020;146;4,29%
    10. Tráfico de drogas;NAVARRA (COMUNIDAD FORAL DE);2018;140;4,48%
    10. Tráfico de drogas;NAVARRA (COMUNIDAD FORAL DE);2017;134;sin datos
    10. Tráfico de drogas;PAÍS VASCO;2022;622;47,74%
    10. Tráfico de drogas;PAÍS VASCO;2019;421;-19,81%
    10. Tráfico de drogas;PAÍS VASCO;2021;525;-6,91%
    10. Tráfico de drogas;PAÍS VASCO;2020;564;53,68%
    10. Tráfico de drogas;PAÍS VASCO;2018;367;10,54%
    10. Tráfico de drogas;PAÍS VASCO;2017;332;sin datos
    10. Tráfico de drogas;RIOJA (LA);2022;98;-6,67%
    10. Tráfico de drogas;RIOJA (LA);2019;105;40,00%
    10. Tráfico de drogas;RIOJA (LA);2021;75;2,74%
    10. Tráfico de drogas;RIOJA (LA);2020;73;0,00%
    10. Tráfico de drogas;RIOJA (LA);2018;73;-8,75%
    10. Tráfico de drogas;RIOJA (LA);2017;80;sin datos
    10. Tráfico de drogas;TOTAL NACIONAL;2022;19014;14,38%
    10. Tráfico de drogas;TOTAL NACIONAL;2019;16624;-9,22%
    10. Tráfico de drogas;TOTAL NACIONAL;2021;18313;7,75%
    10. Tráfico de drogas;TOTAL NACIONAL;2020;16996;20,33%
    10. Tráfico de drogas;TOTAL NACIONAL;2018;14125;9,01%
    10. Tráfico de drogas;TOTAL NACIONAL;2017;12958;sin datos
    11. Resto de criminalidad convencional;ANDALUCÍA;2022;189221;9,49%
    11. Resto de criminalidad convencional;ANDALUCÍA;2019;172816;4,58%
    11. Resto de criminalidad convencional;ANDALUCÍA;2021;165242;sin datos
    11. Resto de criminalidad convencional;ARAGÓN;2022;22318;1,24%
    11. Resto de criminalidad convencional;ARAGÓN;2019;22045;11,18%
    11. Resto de criminalidad convencional;ARAGÓN;2021;19828;sin datos
    11. Resto de criminalidad convencional;ASTURIAS (PRINCIPADO DE);2022;14015;5,57%
    11. Resto de criminalidad convencional;ASTURIAS (PRINCIPADO DE);2019;13275;8,52%
    11. Resto de criminalidad convencional;ASTURIAS (PRINCIPADO DE);2021;12233;sin datos
    11. Resto de criminalidad convencional;BALEARS (ILLES);2022;34286;0,88%
    11. Resto de criminalidad convencional;BALEARS (ILLES);2019;33986;14,26%
    11. Resto de criminalidad convencional;BALEARS (ILLES);2021;29744;sin datos
    11. Resto de criminalidad convencional;CANARIAS;2022;48594;-4,63%
    11. Resto de criminalidad convencional;CANARIAS;2019;50955;13,34%
    11. Resto de criminalidad convencional;CANARIAS;2021;44958;sin datos
    11. Resto de criminalidad convencional;CANTABRIA;2022;11254;29,89%
    11. Resto de criminalidad convencional;CANTABRIA;2019;8664;-11,59%
    11. Resto de criminalidad convencional;CANTABRIA;2021;9800;sin datos
    11. Resto de criminalidad convencional;CASTILLA - LA MANCHA;2022;42343;8,46%
    11. Resto de criminalidad convencional;CASTILLA - LA MANCHA;2019;39040;5,42%
    11. Resto de criminalidad convencional;CASTILLA - LA MANCHA;2021;37032;sin datos
    11. Resto de criminalidad convencional;CASTILLA Y LEÓN;2022;40527;5,30%
    11. Resto de criminalidad convencional;CASTILLA Y LEÓN;2019;38489;4,29%
    11. Resto de criminalidad convencional;CASTILLA Y LEÓN;2021;36906;sin datos
    11. Resto de criminalidad convencional;CATALUÑA;2022;176942;0,15%
    11. Resto de criminalidad convencional;CATALUÑA;2019;176669;9,14%
    11. Resto de criminalidad convencional;CATALUÑA;2021;161867;sin datos
    11. Resto de criminalidad convencional;CIUDAD AUTÓNOMA DE CEUTA;2022;2120;-23,77%
    11. Resto de criminalidad convencional;CIUDAD AUTÓNOMA DE CEUTA;2019;2781;22,46%
    11. Resto de criminalidad convencional;CIUDAD AUTÓNOMA DE CEUTA;2021;2271;sin datos
    11. Resto de criminalidad convencional;CIUDAD AUTÓNOMA DE MELILLA;2022;2697;-17,72%
    11. Resto de criminalidad convencional;CIUDAD AUTÓNOMA DE MELILLA;2019;3278;36,13%
    11. Resto de criminalidad convencional;CIUDAD AUTÓNOMA DE MELILLA;2021;2408;sin datos
    11. Resto de criminalidad convencional;COMUNITAT VALENCIANA;2022;123159;10,33%
    11. Resto de criminalidad convencional;COMUNITAT VALENCIANA;2019;111632;2,79%
    11. Resto de criminalidad convencional;COMUNITAT VALENCIANA;2021;108604;sin datos
    11. Resto de criminalidad convencional;EN EL EXTRANJERO;2022;2476;-56,05%
    11. Resto de criminalidad convencional;EN EL EXTRANJERO;2019;5634;180,72%
    11. Resto de criminalidad convencional;EN EL EXTRANJERO;2021;2007;sin datos
    11. Resto de criminalidad convencional;EXTREMADURA;2022;14980;-0,21%
    11. Resto de criminalidad convencional;EXTREMADURA;2019;15011;5,46%
    11. Resto de criminalidad convencional;EXTREMADURA;2021;14234;sin datos
    11. Resto de criminalidad convencional;GALICIA;2022;46467;14,30%
    11. Resto de criminalidad convencional;GALICIA;2019;40654;-7,15%
    11. Resto de criminalidad convencional;GALICIA;2021;43786;sin datos
    11. Resto de criminalidad convencional;MADRID (COMUNIDAD DE);2022;162907;-2,91%
    11. Resto de criminalidad convencional;MADRID (COMUNIDAD DE);2019;167798;15,59%
    11. Resto de criminalidad convencional;MADRID (COMUNIDAD DE);2021;145172;sin datos
    11. Resto de criminalidad convencional;MURCIA (REGIÓN DE);2022;32844;18,62%
    11. Resto de criminalidad convencional;MURCIA (REGIÓN DE);2019;27689;-4,97%
    11. Resto de criminalidad convencional;MURCIA (REGIÓN DE);2021;29136;sin datos
    11. Resto de criminalidad convencional;NAVARRA (COMUNIDAD FORAL DE);2022;16904;15,64%
    11. Resto de criminalidad convencional;NAVARRA (COMUNIDAD FORAL DE);2019;14618;1,08%
    11. Resto de criminalidad convencional;NAVARRA (COMUNIDAD FORAL DE);2021;14462;sin datos
    11. Resto de criminalidad convencional;PAÍS VASCO;2022;38134;4,37%
    11. Resto de criminalidad convencional;PAÍS VASCO;2019;36536;5,22%
    11. Resto de criminalidad convencional;PAÍS VASCO;2021;34722;sin datos
    11. Resto de criminalidad convencional;RIOJA (LA);2022;5273;26,54%
    11. Resto de criminalidad convencional;RIOJA (LA);2019;4167;-1,14%
    11. Resto de criminalidad convencional;RIOJA (LA);2021;4215;sin datos
    11. Resto de criminalidad convencional;TOTAL NACIONAL;2022;1027461;4,23%
    11. Resto de criminalidad convencional;TOTAL NACIONAL;2019;985737;7,31%
    11. Resto de criminalidad convencional;TOTAL NACIONAL;2021;918627;sin datos
    12. Estafas informáticas;ANDALUCÍA;2022;49432;112,73%
    12. Estafas informáticas;ANDALUCÍA;2019;23237;-34,15%
    12. Estafas informáticas;ANDALUCÍA;2021;35288;sin datos
    12. Estafas informáticas;ARAGÓN;2022;8923;96,72%
    12. Estafas informáticas;ARAGÓN;2019;4536;-37,95%
    12. Estafas informáticas;ARAGÓN;2021;7310;sin datos
    12. Estafas informáticas;ASTURIAS (PRINCIPADO DE);2022;7688;110,23%
    12. Estafas informáticas;ASTURIAS (PRINCIPADO DE);2019;3657;-40,89%
    12. Estafas informáticas;ASTURIAS (PRINCIPADO DE);2021;6187;sin datos
    12. Estafas informáticas;BALEARS (ILLES);2022;7377;-4,22%
    12. Estafas informáticas;BALEARS (ILLES);2019;7702;9,95%
    12. Estafas informáticas;BALEARS (ILLES);2021;7005;sin datos
    12. Estafas informáticas;CANARIAS;2022;11851;62,65%
    12. Estafas informáticas;CANARIAS;2019;7286;-18,28%
    12. Estafas informáticas;CANARIAS;2021;8916;sin datos
    12. Estafas informáticas;CANTABRIA;2022;4356;146,66%
    12. Estafas informáticas;CANTABRIA;2019;1766;-45,54%
    12. Estafas informáticas;CANTABRIA;2021;3243;sin datos
    12. Estafas informáticas;CASTILLA - LA MANCHA;2022;13692;112,44%
    12. Estafas informáticas;CASTILLA - LA MANCHA;2019;6445;-34,21%
    12. Estafas informáticas;CASTILLA - LA MANCHA;2021;9797;sin datos
    12. Estafas informáticas;CASTILLA Y LEÓN;2022;19187;102,74%
    12. Estafas informáticas;CASTILLA Y LEÓN;2019;9464;-34,54%
    12. Estafas informáticas;CASTILLA Y LEÓN;2021;14457;sin datos
    12. Estafas informáticas;CATALUÑA;2022;61278;53,13%
    12. Estafas informáticas;CATALUÑA;2019;40016;-15,42%
    12. Estafas informáticas;CATALUÑA;2021;47314;sin datos
    12. Estafas informáticas;CIUDAD AUTÓNOMA DE CEUTA;2022;474;46,30%
    12. Estafas informáticas;CIUDAD AUTÓNOMA DE CEUTA;2019;324;-19,40%
    12. Estafas informáticas;CIUDAD AUTÓNOMA DE CEUTA;2021;402;sin datos
